OTU ID	ARM1	ARM2	ARM3	ARM4	ARM5	BRM1	BRM2	BRM4	BRM5	CRM1	CRM2	CRM3	CRM4	CRM5	DRM1	DRM2	DRM4	DRM5
PWY-7198	0	5	32	23	2	0	8	0	0	0	0	5	0	5	2	0	0	0
PWY-7199	6496	4873	6868	6071	3746	5527	6094	6875	5620	6921	2980	6362	2939	7659	7896	4780	6009	6372
PWY-7200	9642	7530	9737	9240	6897	9140	9564	9782	8159	10391	6018	9321	5712	10535	10766	7708	9282	9708
PWY-7208	19231	17619	17845	19389	22009	22428	20389	20127	19023	22261	24451	17770	23573	19196	19797	19331	18818	20810
PWY-7209	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7210	0	6	41	26	1	0	10	0	0	0	0	7	0	8	1	0	0	0
PWY-7211	14370	14595	14114	14817	14798	18306	14803	15422	15502	15761	12117	14334	15813	14559	14221	13848	14764	15359
PWY-7219	20253	18431	18395	18910	22729	23263	21157	20759	19073	23127	25380	18555	24786	19845	20571	19487	19464	21577
PWY-722	0	12	0	0	6	0	6	9	0	0	0	15	0	0	0	17	9	10
PWY-7220	17355	17466	17212	18115	20033	21420	18437	17501	17661	18995	21948	17098	21657	17162	16718	18165	17934	18190
PWY-7221	16166	15920	15452	16346	18778	19326	17739	16583	15961	18593	21116	15531	20507	16146	15846	16560	16565	17333
PWY-7222	17311	17605	17182	18107	20009	21137	18529	17455	17710	19198	21909	16970	21905	17138	16769	18121	18083	18190
PWY-7228	16951	16772	16551	17238	19411	19883	18268	17150	16917	18854	21090	16325	21212	16873	16723	17575	17195	17972
PWY-7229	19537	18371	18627	19286	22031	23023	20479	19866	19104	22067	24190	18290	24108	19591	19651	19544	19575	20780
PWY-7234	15114	14472	14009	15241	17508	19646	17641	14486	15022	16823	21085	14097	20113	15343	15908	15991	14738	16746
PWY-7237	386	421	887	890	352	326	1150	673	250	138	326	455	232	656	484	991	467	402
PWY-7242	2467	2115	3778	1938	1692	3546	3411	3122	2178	1107	1802	2150	1350	4758	2724	1901	2877	2756
PWY-7254	1467	760	3115	1714	1479	3372	2140	2224	6930	1471	645	1808	1474	2965	1768	1881	1643	2071
PWY-7255	744	839	734	1097	319	609	613	242	643	366	230	480	176	245	327	1222	696	713
PWY-7295	0	0	0	0	0	19	25	10	1	5	4	0	0	0	0	30	14	80
PWY-7315	131	135	167	497	66	204	69	49	422	30	25	79	10	178	57	685	169	52
PWY-7323	10448	12222	11715	11841	11664	10386	8825	9140	12794	8082	8658	9179	6232	9662	7206	10371	10383	8163
PWY-7328	3096	2392	2588	1050	728	1968	1551	672	2084	608	594	3497	735	1204	3801	2874	1997	1422
PWY-7332	3010	839	1380	5390	2058	251	462	764	616	241	784	2029	930	695	1174	2523	2835	673
PWY-7347	736	923	838	405	277	209	234	219	693	229	176	496	285	239	218	1128	425	271
PWY-7371	1688	2043	3379	1756	1581	1564	2298	4424	4015	2440	1715	1879	3408	5217	1833	1878	4556	3926
PWY-7373	1251	1195	2405	991	1404	1249	1725	4256	3633	2404	1350	1660	3249	4155	1503	1288	3772	3573
PWY-7374	788	933	2266	779	550	1027	1489	1474	1701	634	1035	437	994	3646	1120	1172	2281	1743
PWY-7376	1286	1995	1940	1530	864	489	805	1281	737	365	385	1381	524	950	745	940	1157	666
PWY-7377	349	1086	1565	669	759	550	687	1364	354	255	312	698	347	944	506	901	863	696
PWY-7391	63	54	91	57	49	38	55	36	0	20	135	205	0	194	223	84	106	129
PWY-7392	8385	7010	7066	9522	8271	9613	8976	7136	10579	8054	4792	9654	3841	7439	9308	8051	6436	7297
PWY-7400	15852	14635	15120	14928	18448	16547	16872	17141	15785	18367	21177	14981	20766	16122	16466	15592	15719	17588
PWY-7431	977	2894	1519	1436	979	492	1169	1696	618	358	549	1052	406	902	588	1690	1637	1362
PWY-7446	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7456	0	39	58	18	14	24	71	0	0	71	69	0	0	45	6	110	41	17
PWY-7527	22	581	84	18	75	12	409	436	40	134	109	322	59	35	42	95	286	460
PWY-7528	7	0	0	0	0	0	0	0	0	14	0	22	0	7	16	0	0	0
PWY-7539	14685	13917	13444	14537	18396	18708	16675	15562	15937	17583	20604	15196	20823	14346	15593	15024	14550	16495
PWY-7560	15514	13950	13922	14331	18110	18539	16914	16751	15679	19358	20588	14130	20449	15979	16453	14799	15080	17507
PWY-7616	19	4	192	12	27	41	46	20	43	85	30	73	61	136	69	0	50	52
PWY-7663	17781	20433	18984	16690	15328	18121	15314	18223	17074	18373	11446	18172	12108	18060	16759	16429	17184	16212
PWY-7664	7519	9989	7765	6219	3380	1938	5205	4481	4584	4508	2266	9468	2045	5354	7925	5862	4926	3867
PWY-841	18103	17244	17114	17756	20632	21403	19403	18701	17977	20561	23357	17248	22969	18262	18093	18050	18032	19566
PWY-922	455	198	117	288	100	146	225	226	175	42	208	851	30	434	595	103	178	232
PWY0-1061	3639	1542	2850	1646	2152	3705	3635	3556	6961	1216	1440	6331	648	5507	7662	1923	2396	3679
PWY0-1241	9398	9444	7655	8261	11979	10360	12700	10927	9679	11248	17129	8543	17783	11770	11185	10552	10890	13044
PWY0-1261	8452	8762	10545	9220	6644	8192	8092	9350	10383	7219	4642	8304	4944	10048	8957	7613	9334	8330
PWY0-1277	85	13	16	113	25	6	0	41	8	0	6	22	0	0	0	35	39	41
PWY0-1296	4715	3272	4648	5040	3296	3193	5471	5032	3726	5761	2625	6420	3002	4659	6498	4331	4850	4270
PWY0-1297	4053	2799	4184	4429	2840	2826	4574	4447	5071	4899	2285	5834	2432	3922	5736	3729	4130	3620
PWY0-1298	2915	2415	3332	3398	1834	2111	3299	3040	4058	3384	1477	3893	1595	3089	4212	2813	3221	2614
PWY0-1319	18671	18048	18551	18573	19602	20739	18023	19101	17842	19989	22134	17875	21081	18328	17338	18722	18527	18519
PWY0-1338	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
PWY0-1415	4137	4160	5735	6238	2482	2376	2948	2728	3186	1280	2084	3505	1846	5419	3140	4958	5427	2894
PWY0-1479	3225	5475	4898	4860	3781	4893	3408	4229	6777	3270	1823	5227	2175	4105	4881	4682	2640	3471
PWY0-1533	1180	5129	2917	2345	980	1508	2019	1735	1680	1049	698	2287	782	1803	1243	1406	1542	1247
PWY0-1586	5014	5910	5363	6212	4870	5098	4414	3933	7110	4149	2502	4938	2130	6070	4788	7000	5975	4289
PWY0-162	18752	17804	17870	18714	21721	22078	20008	19602	19262	21182	23809	17621	23682	18638	18779	18791	18828	20155
PWY0-166	15273	13826	13104	14938	18757	18614	17515	15010	13546	17945	22320	14132	21218	14870	15995	15880	14566	16970
PWY0-321	96	15	55	110	14	7	85	6	30	13	16	68	15	3	0	63	173	157
PWY0-41	0	0	4	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0
PWY0-42	1401	1274	723	1200	367	420	850	810	340	689	462	1841	452	1071	1771	1467	833	1146
PWY0-781	10606	11259	11554	9678	8817	10319	11469	12119	11260	10985	8856	11314	11556	12452	11453	9552	12036	12506
PWY0-845	1994	2031	2312	2563	1292	1189	1286	1759	1180	1518	758	1632	858	1227	1981	1521	1745	1566
PWY0-862	6730	8900	6910	5477	2855	1676	4600	3886	4043	3927	1846	8421	1702	4715	7061	5480	4205	3379
PWY1G-0	456	369	459	933	203	46	65	125	32	63	133	430	94	178	104	882	426	46
